S/N,Name Of Applicant,Ward,Project Title,Approved Amount
S/N,Name Of Applicant,Ward,Project Title,Approved amount
1.,Machembele Women's Club,Lukonde,Goat Rearing,"15,000"
2.,Hakazembwe Multi-Purpose Cooperative,Lukonde,Goat Rearing,"15,000"
3.,Bulimi Bubotu Women's Cooperative,Lukonde,Chicken Rearing Project,"10,000"
4.,Tutante Club,Lukonde,Goat Rearing,"15,000"
5.,Chuunga Club,Lukonde,Goat Rearing,"15,000"
6.,Katulanga Club,Syampande,Goat Rearing and Butchery,"15,000"
7.,Kasika Club,Syampande,Piggery Project,"20,000"
8.,Kabbudula Club,Syampande,Goat Project,"15,000"
9.,Ngombe Buka Club,Syampande,Bee Keeping Project,"15,000"
10.,Mutombe Club,Syampande,Pig Project and Butchery,"20,000"
11.,Makwaba Agricultural Cooperative,Bbondo,Piggery Project,"20,000"
12.,Chikolonto Women's Club,Bbondo,Goat Keeping,"15,000"
13.,Nakaye Youth Club,Bbondo,Goat Farming,"15,000"
14.,Chisangano Luumuno Women's Club,Bbondo,Piggery,"20,000"
15.,Ntanga Sese Multi-Purpose Co-Operative Society Limited,Bbondo,Goat Keeping,"15,000"
16.,Lijanine Women's Club,Bbondo,Poultry,"10,000"
,Hatyelele Development Group,Luumbo,Piggery Project,"20,000"
18.,Ng'ombe Cidamu Club,Luumbo,Goat Rearing,"15,000"
19.,Buce Buce Tonka Club,Luumbo,Goat Rearing,"15,000"
20.,Haankede Multi-Purpose Cooperative,Luumbo,Piggery Project,"20,000"
21.,Twine Poultry Club,Fumbo,Poultry Project,"10,000"
22.,Mapale Youth Club Cipaale Kulya Multi-Purpose Co-,Fumbo,Goat Rearing,"15,000"
23. 24.,Operative Kambwili Agricultural Co-Operative,Fumbo Fumbo,Goat Production Beef/Cattle Production,"15,000 20,000"
25.,Makanza Women Club,Sinafala,Goat Rearing,"15,000"
26.,Tuvuke Women's Club,Sinafala,Cattle Rearing,"20,000"
27.,Masila Multi-Purpose Cooperative Chilundundike Multi-Purpose,Chisanga,Chicken Rearing Project,"10,000"
28. 29.,Cooperative Kamutulanga Agricultural Cooperative,Chisanga Makuyu,Goat Rearing Goat Rearing,"15,000 15,000"
30.,Chisawu Mainza Club,Makuyu,Goat Rearing,"15,000"
31.,Ng'ombe Women's Club Chitubatuba Youth Multi-Purpose,Makuyu,Piggery Project,"20,000"
32. 33.,Cooperative Kalundu Womens Club,Makuyu Chibuwe,Goat Rearing Buying And Selling of Maize,"15,000 10,000"
34.,Chibuwe Kamucheba Youth Group,Chibuwe,Piggery Project,"20,000"
,Dulu Club,Chaamwe,Beef/Cattle Production,"20,000"
36.,Muntili Club,Chaamwe,Goat Production,"15,000"
37.,Masenke Club,Chaamwe,Seed Money,"10,000"
38.,Sinsumuka Club,Kkole,Savings,"10,000"
39.,Tuyuse Club,Kkole,Savings,"10,000"
40.,Tubeleke Club,Syambabala,Goat Production,"15,000"
41.,Lukondo Womens Club Kamundiswilila Multi-Purpose Co-,Syambabala,Goat Business,"15,000"
42. 43.,Oparetive Kachembele Club,Sompani Sompani,Goat Rearing Goat Rearing,"15,000 15,000"
44.,Choolwe Women's Club,Sompani,Goat Rearing,"15,000"
45.,Tebule Youth Club,Kkoma,Goat Rearing,"15,000"
46.,Lulike Club,Kkota Kkota,Piggery Project,"20,000"
47.,Chiyakubota Club,Kkota-Kkota,Piggery Farming,"20,000"
48.,Kakunka Women's Club,Sompani,Goat Rearing Project,"15,000"
49.,Mukombweulila Club,Sompani,Goat Rearing Project,"15,000"
50.,Kalisalile Women's Club,Sompani,Goat Rearing Project,"15,000"
51.,Katuchebana Women's Club,Sompani,Piggery Project,"20,000"
52.,Simalimba Club,Syampande,Goat Rearing Project,"15,000"
53.,Kambala Club,Syampande,Goat Rearing Project,"15,000"
54.,Linda Club,Syampande,Fish Project,"15,000"
55.,Kachenje Development Club,Fumbo,Goat Rearing Project,"15,000"
57.,Tusumpuke Savings Group,Jongola,Goat Rearing Project,"15,000"
58.,Ibbwenkuku Women's Club,Jongola,Chicken Rearing Project,"10,000"
59.,Nankwaze Development Club,Jongola,Goat Rearing Project,"15,000"
60.,Kalonga Development Club,Jongola,Chicken Rearing Project,"10,000"
61.,Kabunda Women's Club,Bbondo,Cooking Oil Compressor,"40,000"
62.,Nalutandala Women's Club,Bbondo,Buying And Selling of Cattle,"40,000"
63.,Chisi Chayuma Club,Bbondo,Cattle Rearing Project,"20,000"
64.,Dean Multi-Purpose Cooperative,Sinafala,Goat Rearing Project,"15,000"
65.,Tuzyandamane Women's Group,Lukonde,Grocery Business,"15,000"
66.,Katulisyoma Women's Club,Lukonde,Grocery Business,"15,000"
67.,Nsizi Group,Fumbo,Piggery Rearing Project,"20,000"
68.,Kubota Muzeezo Tailoring Group,Fumbo,Sewing Business,"25,000"
69.,Hakwelele Club,Fumbo,Goat Rearing Project,"15,000"
70.,Chijalile Club,Fumbo,Pig Rearing Project,"20,000"
