name_of_applicant|ward|project_title|approved_amount
machembele women's club|lukonde|goat rearing|15000.0
hakazembwe multi-purpose cooperative|lukonde|goat rearing|15000.0
bulimi bubotu women's cooperative|lukonde|chicken rearing project|10000.0
tutante club|lukonde|goat rearing|15000.0
chuunga club|lukonde|goat rearing|15000.0
katulanga club|syampande|goat rearing and butchery|15000.0
kasika club|syampande|piggery project|20000.0
kabbudula club|syampande|goat project|15000.0
ngombe buka club|syampande|bee keeping project|15000.0
mutombe club|syampande|pig project and butchery|20000.0
makwaba agricultural cooperative|bbondo|piggery project|20000.0
chikolonto women's club|bbondo|goat keeping|15000.0
nakaye youth club|bbondo|goat farming|15000.0
chisangano luumuno women's club|bbondo|piggery|20000.0
ntanga sese multi-purpose co-operative society limited|bbondo|goat keeping|15000.0
lijanine women's club|bbondo|poultry|10000.0
hatyelele development group|luumbo|piggery project|20000.0
ng'ombe cidamu club|luumbo|goat rearing|15000.0
buce buce tonka club|luumbo|goat rearing|15000.0
haankede multi-purpose cooperative|luumbo|piggery project|20000.0
twine poultry club|fumbo|poultry project|10000.0
mapale youth club cipaale kulya multi-purpose co-|fumbo|goat rearing|15000.0
makanza women club|sinafala|goat rearing|15000.0
tuvuke women's club|sinafala|cattle rearing|20000.0
masila multi-purpose cooperative chilundundike multi-purpose|chisanga|chicken rearing project|10000.0
chisawu mainza club|makuyu|goat rearing|15000.0
ng'ombe women's club chitubatuba youth multi-purpose|makuyu|piggery project|20000.0
chibuwe kamucheba youth group|chibuwe|piggery project|20000.0
dulu club|chaamwe|beef/cattle production|20000.0
muntili club|chaamwe|goat production|15000.0
masenke club|chaamwe|seed money|10000.0
sinsumuka club|kkole|savings|10000.0
tuyuse club|kkole|savings|10000.0
tubeleke club|syambabala|goat production|15000.0
lukondo womens club kamundiswilila multi-purpose co-|syambabala|goat business|15000.0
choolwe women's club|sompani|goat rearing|15000.0
tebule youth club|kkoma|goat rearing|15000.0
lulike club|kkota kkota|piggery project|20000.0
chiyakubota club|kkota-kkota|piggery farming|20000.0
kakunka women's club|sompani|goat rearing project|15000.0
mukombweulila club|sompani|goat rearing project|15000.0
kalisalile women's club|sompani|goat rearing project|15000.0
katuchebana women's club|sompani|piggery project|20000.0
simalimba club|syampande|goat rearing project|15000.0
kambala club|syampande|goat rearing project|15000.0
linda club|syampande|fish project|15000.0
kachenje development club|fumbo|goat rearing project|15000.0
tusumpuke savings group|jongola|goat rearing project|15000.0
ibbwenkuku women's club|jongola|chicken rearing project|10000.0
nankwaze development club|jongola|goat rearing project|15000.0
kalonga development club|jongola|chicken rearing project|10000.0
kabunda women's club|bbondo|cooking oil compressor|40000.0
nalutandala women's club|bbondo|buying and selling of cattle|40000.0
chisi chayuma club|bbondo|cattle rearing project|20000.0
dean multi-purpose cooperative|sinafala|goat rearing project|15000.0
tuzyandamane women's group|lukonde|grocery business|15000.0
katulisyoma women's club|lukonde|grocery business|15000.0
nsizi group|fumbo|piggery rearing project|20000.0
kubota muzeezo tailoring group|fumbo|sewing business|25000.0
hakwelele club|fumbo|goat rearing project|15000.0
chijalile club|fumbo|pig rearing project|20000.0
asante sana organised group|fumbo|goat rearing|15000.0
favor nzila youth club|kkole|gardening|40000.0
kafunga club|kkota-kkota|goat rearing|40000.0
lulike club|kkota-kkota|pig rearing|20000.0
covenant club|kkota-kkota|pig rearing|20000.0
penzi mwini youth club|kkoma|goat rearing|25000.0
kalenda women’s club|kkoma|pig rearing|40000.0
tuusekelele multi-purpose cooperative|chisanga|goat rearing|40000.0
chisanga youth club|chisanga|pig rearing|40000.0
makelele marketeer club|lukonde|village banking|40000.0
chuunga club|lukonde|goat rearing|40000.0
sikadinga club|sompani|pig rearing|29375.0
twazumina saving group multipurpose cooperative limited|luumbo|piggery|40000.0
cilaguuma club|luumbo|piggery|40000.0
tutajoki munsi savings group|syampande|irrigation|40000.0
gulumunyanga women’s club|syampande|piggery|40000.0
makuyu kamujula club|makuyu|sheep rearing|40000.0
kabwe kalemu mpc|makuyu|piggery|40000.0
chibuyu co-operative|syambabala|piggery|40000.0
twakkomana saving group|syambabala|irrigation|40000.0
chakasala co-operative|sinafala|goat rearing|40000.0
kalizya mpongo multi-purpose cooperative|fumbo|poultry|40000.0
kuyeyakwangu co-operative|fumbo|piggery rearing|40000.0
kaompi co-operatives|bbondo|goat keeping|40000.0
hachiyola saving group|bbondo|goat keeping|40000.0
makuyu women club|chibuwe|goat keeping|40000.0
gwembe youth movement group|chibuwe|irrigation|40000.0
nakatapata club|chaamwe|cattle trading|40000.0
. mabwe mayale club|chaamwe|goat production|40000.0
